Year,pyMay,pyJun,pyJul,pyAug,pySep,pyOct,pyNov,pyDec,Jan,Feb,March,April,May,June,July,Aug,Sep,Oct,Nov,Dec,MA,PM,M,PoM,DS,RWI
1964,0.66,0.82,0.86,0.84,0.72,0.50,0.25,0.22,0.23,0.31,0.39,0.51,0.64,0.80,0.88,0.82,0.76,0.56,0.30,0.22,0.534666675,0.4525,0.72900002,0.6595,0.2732,0.986888054
1965,0.64,0.80,0.88,0.82,0.76,0.56,0.30,0.22,0.21,0.30,0.34,0.51,0.66,0.81,0.85,0.86,0.76,0.49,0.23,0.26,0.523833333,0.427,0.7392,0.624,0.283,1.155671488
1966,0.66,0.81,0.85,0.86,0.76,0.49,0.23,0.26,0.27,0.27,0.38,0.51,0.64,0.83,0.83,0.86,0.77,0.49,0.31,0.28,0.536749992,0.445,0.73379998,0.6285,0.3302,0.811055653
1967,0.64,0.83,0.83,0.86,0.77,0.49,0.31,0.28,0.31,0.32,0.43,0.51,0.65,0.78,0.84,0.82,0.80,0.48,0.21,0.19,0.528250017,0.4715,0.71980002,0.64150005,0.2632,1.252073024
1968,0.65,0.78,0.84,0.82,0.80,0.48,0.21,0.19,0.23,0.32,0.36,0.51,0.64,0.82,0.85,0.83,0.74,0.50,0.29,0.19,0.522833333,0.4375,0.728,0.6205,0.2582,1.019948927
1969,0.64,0.82,0.85,0.83,0.74,0.50,0.29,0.19,0.20,0.22,0.39,0.51,0.63,0.80,0.84,0.86,0.74,0.49,0.29,0.19,0.513750017,0.452,0.72760004,0.616,0.28780002,1.245477325
1970,0.63,0.80,0.84,0.86,0.74,0.49,0.29,0.19,0.22,0.32,0.42,0.51,0.67,0.81,0.86,0.84,0.80,0.56,0.34,0.21,0.547166667,0.46750005,0.73799998,0.6795,0.2704,0.817002325
1971,0.67,0.81,0.86,0.84,0.80,0.56,0.34,0.21,0.21,0.29,0.30,0.65,0.67,0.82,0.88,0.86,0.75,0.56,0.27,0.19,0.536666675,0.4755,0.77520002,0.6555,0.2532,0.62205119
1972,0.67,0.82,0.88,0.86,0.75,0.56,0.27,0.19,0.17,0.29,0.35,0.46,0.66,0.78,0.84,0.84,0.72,0.46,0.26,0.13,0.496583333,0.4065,0.7164,0.592,0.22540002,1.439638229
1973,0.66,0.78,0.84,0.84,0.72,0.46,0.26,0.13,0.14,0.27,0.33,0.37,0.69,0.80,0.82,0.84,0.80,0.53,0.35,0.26,0.517666675,0.35200005,0.7062,0.6635,0.2728,0.76027542
1974,0.69,0.80,0.82,0.84,0.80,0.53,0.35,0.26,0.19,0.19,0.38,0.52,0.65,0.80,0.90,0.86,0.78,0.51,0.35,0.20,0.525416683,0.4495,0.74500004,0.6435,0.275,0.738513374
1975,0.65,0.80,0.90,0.86,0.78,0.51,0.35,0.20,0.19,0.28,0.36,0.42,0.65,0.79,0.89,0.84,0.78,0.55,0.33,0.20,0.522583317,0.391,0.71659996,0.664,0.2812,1.005896794
1976,0.65,0.79,0.89,0.84,0.78,0.55,0.33,0.20,0.17,0.30,0.41,0.43,0.64,0.81,0.84,0.85,0.72,0.48,0.32,0.19,0.512083333,0.4185,0.7122,0.5985,0.2618,0.813635167
1977,0.64,0.81,0.84,0.85,0.72,0.48,0.32,0.19,0.16,0.26,0.38,0.67,0.69,0.82,0.87,0.86,0.75,0.50,0.37,0.24,0.5465,0.5235,0.7806,0.624,0.277,1.284425566
1978,0.69,0.82,0.87,0.86,0.75,0.50,0.37,0.24,0.19,0.26,0.33,0.40,0.67,0.81,0.84,0.83,0.79,0.51,0.32,0.16,0.508416667,0.3665,0.7096,0.648,0.252,0.934178211
1979,0.67,0.81,0.84,0.83,0.79,0.51,0.32,0.16,0.14,0.27,0.37,0.34,0.60,0.80,0.84,0.84,0.74,0.49,0.31,0.28,0.502416667,0.354,0.68439998,0.61650005,0.3062,0.902300153
1980,0.60,0.80,0.84,0.84,0.74,0.49,0.31,0.28,0.25,0.28,0.40,0.33,0.64,0.79,0.84,0.82,0.75,0.51,0.21,0.22,0.504083333,0.3645,0.68559998,0.62800005,0.28,1.074516278
1981,0.64,0.79,0.84,0.82,0.75,0.51,0.21,0.22,0.27,0.30,0.41,0.50,0.66,0.79,0.87,0.82,0.76,0.45,0.23,0.26,0.526749992,0.4545,0.72959998,0.605,0.2704,0.756649852
1982,0.66,0.79,0.87,0.82,0.76,0.45,0.23,0.26,0.13,0.36,0.37,0.56,0.61,0.82,0.84,0.86,0.77,0.46,0.28,0.20,0.52225,0.4635,0.7374,0.618,0.28480002,0.983513416
1983,0.61,0.82,0.84,0.86,0.77,0.46,0.28,0.20,0.22,0.31,0.42,0.44,0.66,0.79,0.84,0.85,0.79,0.53,0.29,0.25,0.530166683,0.43000005,0.71500002,0.657,0.2672,1.027879454
1984,0.66,0.79,0.84,0.85,0.79,0.53,0.29,0.25,0.22,0.26,0.33,0.42,0.71,0.80,0.85,0.83,0.75,0.51,0.23,0.21,0.507916667,0.3775,0.7208,0.626,0.2662,0.721018258
1985,0.71,0.80,0.85,0.83,0.75,0.51,0.23,0.21,0.22,0.26,0.42,0.47,0.65,0.80,0.86,0.83,0.76,0.46,0.23,0.21,0.513083333,0.4425,0.7216,0.6085,0.2474,1.153777259
1986,0.65,0.80,0.86,0.83,0.76,0.46,0.23,0.21,0.21,0.25,0.34,0.54,0.59,0.78,0.84,0.80,0.79,0.50,0.29,0.21,0.512333325,0.439,0.70979998,0.645,0.257,0.774591795
1987,0.59,0.78,0.84,0.80,0.79,0.50,0.29,0.21,0.14,0.23,0.41,0.45,0.59,0.78,0.88,0.86,0.78,0.47,0.31,0.18,0.505833325,0.428,0.71239998,0.62,0.2552,1.145166582
1988,0.59,0.78,0.88,0.86,0.78,0.47,0.31,0.18,0.15,0.24,0.39,0.42,0.70,0.79,0.86,0.87,0.73,0.49,0.29,0.23,0.513499992,0.406,0.72679998,0.6105,0.2606,1.228948753
1989,0.70,0.79,0.86,0.87,0.73,0.49,0.29,0.23,0.17,0.27,0.35,0.33,0.65,0.78,0.85,0.82,0.78,0.55,0.25,0.17,0.496333333,0.3355,0.6858,0.6615,0.29240002,0.941705867
1990,0.65,0.78,0.85,0.82,0.78,0.55,0.25,0.17,0.21,0.37,0.47,0.51,0.68,0.82,0.88,0.84,0.79,0.57,0.28,0.21,0.550833342,0.488,0.7444,0.6755,0.269,1.080967013
1991,0.68,0.82,0.88,0.84,0.79,0.57,0.28,0.21,0.20,0.27,0.38,0.45,0.71,0.83,0.85,0.88,0.80,0.54,0.27,0.25,0.535166683,0.4135,0.74360002,0.66950005,0.293,1.000663312
1992,0.71,0.83,0.85,0.88,0.80,0.54,0.27,0.25,0.24,0.35,0.36,0.36,0.65,0.80,0.86,0.83,0.75,0.51,0.26,0.19,0.512833342,0.3595,0.70000002,0.629,0.2776,0.974675622
1993,0.65,0.80,0.86,0.83,0.75,0.51,0.26,0.19,0.24,0.35,0.35,0.47,0.67,0.80,0.82,0.86,0.77,0.49,0.26,0.19,0.523333325,0.408,0.72519998,0.6305,0.2618,0.774450107
1994,0.67,0.80,0.82,0.86,0.77,0.49,0.26,0.19,0.16,0.31,0.39,0.45,0.64,0.81,0.82,0.84,0.72,0.47,0.36,0.19,0.511750008,0.4195,0.70960002,0.5935,0.2902,1.261611234
1995,0.64,0.81,0.82,0.84,0.72,0.47,0.36,0.19,0.22,0.33,0.35,0.46,0.65,0.82,0.86,0.83,0.80,0.47,0.33,0.25,0.530416675,0.4035,0.72380002,0.634,0.3018,0.650672269
1996,0.65,0.82,0.86,0.83,0.80,0.47,0.33,0.25,0.23,0.27,0.44,0.64,0.68,0.80,0.86,0.86,0.74,0.48,0.22,0.22,0.536166667,0.539,0.7672,0.612,0.2924,0.913044013
1997,0.68,0.80,0.86,0.86,0.74,0.48,0.22,0.22,0.25,0.36,0.42,0.53,0.61,0.78,0.84,0.84,0.77,0.44,0.31,0.31,0.537833333,0.472,0.7198,0.6065,0.3518,1.352362494
1998,0.61,0.78,0.84,0.84,0.77,0.44,0.31,0.31,0.31,0.41,0.42,0.37,0.64,0.80,0.87,0.86,0.73,0.53,0.31,0.19,0.537583342,0.396,0.7078,0.63300005,0.2688,0.781761412
1999,0.64,0.80,0.87,0.86,0.73,0.53,0.31,0.19,0.18,0.27,0.38,0.49,0.71,0.81,0.86,0.86,0.76,0.57,0.27,0.22,0.529916667,0.433,0.7422,0.6625,0.31,1.160368727
2000,0.71,0.81,0.86,0.86,0.76,0.57,0.27,0.22,0.23,0.41,0.43,0.53,0.67,0.80,0.81,0.83,0.77,0.48,0.29,0.20,0.535999983,0.478,0.72479996,0.6255,0.2938,0.833455808
2001,0.67,0.80,0.81,0.83,0.77,0.48,0.29,0.20,0.24,0.34,0.40,0.52,0.66,0.81,0.85,0.84,0.76,0.55,0.31,0.25,0.54333335,0.4585,0.73380002,0.65750005,0.3058,1.149988347
2002,0.66,0.81,0.85,0.84,0.76,0.55,0.31,0.25,0.28,0.29,0.40,0.60,0.68,0.81,0.87,0.84,0.76,0.48,0.29,0.28,0.5485,0.4965,0.76119998,0.62200005,0.3192,0.906499785
2003,0.68,0.81,0.87,0.84,0.76,0.48,0.29,0.28,0.28,0.33,0.43,0.53,0.64,0.83,0.84,0.83,0.76,0.57,0.25,0.28,0.5465,0.4775,0.7326,0.6655,0.2992,0.776342883
2004,0.64,0.83,0.84,0.83,0.76,0.57,0.25,0.28,0.27,0.28,0.41,0.65,0.66,0.82,0.87,0.84,0.79,0.50,0.30,0.25,0.553583333,0.5305,0.7672,0.645,0.3124,1.027155992
2005,0.66,0.82,0.87,0.84,0.79,0.50,0.30,0.25,0.27,0.30,0.44,0.50,0.67,0.79,0.85,0.84,0.75,0.57,0.25,0.24,0.538,0.4665,0.72899998,0.65600005,0.3006,0.955205187
2006,0.67,0.79,0.85,0.84,0.75,0.57,0.25,0.24,0.26,0.37,0.38,0.48,0.65,0.81,0.85,0.82,0.74,0.50,0.36,0.27,0.541416658,0.4315,0.72259998,0.6215,0.32820004,1.288176571
2007,0.65,0.81,0.85,0.82,0.74,0.50,0.36,0.27,0.27,0.36,0.39,0.51,0.65,0.79,0.87,0.84,0.77,0.52,0.30,0.24,0.541416683,0.44700005,0.7308,0.6425,0.3086,0.921012984
2008,0.65,0.79,0.87,0.84,0.77,0.52,0.30,0.24,0.27,0.31,0.42,0.51,0.65,0.83,0.85,0.86,0.76,0.50,0.28,0.33,0.546583333,0.4645,0.7398,0.628,0.3324,0.871925259
2009,0.65,0.83,0.85,0.86,0.76,0.50,0.28,0.33,0.31,0.35,0.40,0.50,0.65,0.79,0.84,0.86,0.73,0.48,0.30,0.32,0.543583342,0.4515,0.72780002,0.6005,0.3194,1.071314235
2010,0.65,0.79,0.84,0.86,0.73,0.48,0.30,0.32,0.23,0.35,0.40,0.53,0.71,0.82,0.85,0.84,0.78,0.55,0.31,0.29,0.554416667,0.464,0.7512,0.6645,0.329,0.9783471
2011,0.71,0.82,0.85,0.84,0.78,0.55,0.31,0.29,0.31,0.33,0.41,0.48,0.67,0.81,0.85,0.84,0.78,0.48,0.30,0.31,0.547666675,0.442,0.73120002,0.63,0.3354,1.006541863
2012,0.67,0.81,0.85,0.84,0.78,0.48,0.30,0.31,0.32,0.33,0.43,0.53,0.64,0.83,0.86,0.83,0.78,0.46,0.26,0.31,0.546916667,0.479,0.7384,0.62,0.3058,0.93981832
2013,0.64,0.83,0.86,0.83,0.78,0.46,0.26,0.31,0.27,0.30,0.40,0.67,0.71,0.79,0.82,0.83,0.76,0.58,0.25,0.35,0.558666675,0.5315,0.76200002,0.667,0.33840002,0.70216192
2014,0.71,0.79,0.82,0.83,0.76,0.58,0.25,0.35,0.32,0.39,0.39,0.45,0.65,0.81,0.83,0.84,0.76,0.47,0.29,0.26,0.538416667,0.41900005,0.71799998,0.613,0.3342,1.149493783
2015,0.65,0.81,0.83,0.84,0.76,0.47,0.29,0.26,0.32,0.38,0.42,0.62,0.67,0.81,0.82,0.84,0.75,0.47,0.29,0.36,0.561833342,0.5195,0.7504,0.6095,0.37660002,0.81239417
2016,0.67,0.81,0.82,0.84,0.75,0.47,0.29,0.36,0.33,0.47,0.44,0.56,0.69,0.77,0.86,0.80,0.76,0.48,0.31,0.32,0.565166667,0.498,0.7356,0.6195,0.3412,1.238567646
2017,0.69,0.77,0.86,0.80,0.76,0.48,0.31,0.32,0.25,0.37,0.46,0.69,0.66,0.79,0.85,0.82,0.76,0.55,0.29,0.35,0.569750017,0.574,0.76120002,0.65550005,0.36360002,1.034854793
2018,0.66,0.79,0.85,0.82,0.76,0.55,0.29,0.35,0.31,0.43,0.43,0.58,0.70,0.79,0.83,0.79,0.74,0.50,0.24,0.32,0.554083342,0.50300005,0.7362,0.6195,0.32360002,0.874260505
2019,0.70,0.79,0.83,0.79,0.74,0.50,0.24,0.32,0.25,0.39,0.43,0.58,0.67,0.77,0.81,0.79,0.76,0.55,0.34,0.35,0.5575,0.50300005,0.72539996,0.656,0.35520002,1.261149474
2020,0.67,0.77,0.81,0.79,0.76,0.55,0.34,0.35,0.29,0.40,0.40,0.60,0.68,0.80,0.82,0.82,0.78,0.58,0.33,0.34,0.568749992,0.495,0.74159998,0.6805,0.368,0.792629266
2021,0.68,0.80,0.82,0.82,0.78,0.58,0.33,0.34,0.34,0.38,0.45,0.65,0.64,0.79,0.83,0.84,0.74,0.51,0.31,0.33,0.566749983,0.551,0.74819998,0.62499995,0.3568,1.223729245
2022,0.64,0.79,0.83,0.84,0.74,0.51,0.31,0.33,0.344,0.39,0.413,0.6659999,0.702,0.802,0.772,0.7779999,0.735,0.506,0.226,0.323,0.554749983,0.53949995,0.74399996,0.6205,0.3458,0.688172006
